Order Date,Sales,Profit,Category,Region
2017-02-02,82.2192,29.364,Office Supplies,East
2017-02-02,22.5288,6.9732,Office Supplies,East
2016-10-13,21.042,9.6192,Office Supplies,West
2016-10-13,37.211999999999996,16.6568,Office Supplies,West
2016-10-13,12.096,3.456,Office Supplies,West
2016-10-13,4.221,1.9698,Office Supplies,West
2016-10-13,79.9848,26.6616,Office Supplies,West
2016-10-13,69.17399999999999,18.4464,Office Supplies,West
2016-10-13,45.275999999999996,20.6976,Furniture,West
2016-09-05,86.94,10.35,Furniture,East
2017-09-18,9.261000000000001,2.3814,Office Supplies,West
2017-09-18,11.403,5.1042,Office Supplies,West
2017-09-18,150.885,68.976,Office Supplies,West
2017-12-22,881.4014999999999,218.2518,Office Supplies,Central
2015-09-07,705.5264999999999,20.1579,Office Supplies,West
2014-10-22,98.5824,12.9096,Furniture,East
2016-12-05,403.6725,103.8015,Technology,Central
2016-12-05,157.4685,5.9988,Technology,Central
2016-12-05,2049.432,585.552,Furniture,Central
2016-12-05,180.12750000000003,80.6285,Office Supplies,Central
2016-03-13,165.816,17.766,Office Supplies,West
2016-03-13,213.3432,15.2388,Technology,West
2015-05-31,61.29900000000001,26.271,Office Supplies,West
2015-05-31,110.796,48.5392,Office Supplies,West
2015-05-31,84.92399999999999,21.0288,Office Supplies,West
2015-05-28,6.9615,1.7901,Office Supplies,West
2014-03-01,480.4464,51.4764,Furniture,West
2016-11-20,15.350999999999999,6.8714,Office Supplies,Central
2016-11-20,992.1765,236.2325,Technology,Central
2016-05-11,6.279000000000001,2.691,Office Supplies,West
2015-12-28,57.1032,1.3596,Technology,East
2016-11-16,29.82,13.348,Office Supplies,West
2016-11-07,29.064,9.688,Office Supplies,West
2014-09-08,10.4328,2.7324,Office Supplies,Central
2014-09-08,8567.9496,-1359.992,Technology,Central
2014-09-08,289.7244,-58.6347,Office Supplies,Central
2014-09-08,1827.063,-24.858,Furniture,Central
2014-09-08,33.6672,6.8136,Office Supplies,Central
2014-09-08,186.879,-453.849,Office Supplies,Central
2014-09-08,151.1748,8.9985,Technology,Central
2014-08-05,21.987000000000002,9.8418,Office Supplies,West
2014-08-05,116.508,53.2608,Office Supplies,West
2014-08-05,357.1512,21.259,Furniture,West
2014-09-14,55.0704,-131.12,Office Supplies,Central
2014-09-14,21.168000000000003,6.552,Office Supplies,Central
2017-04-21,102.1272,-243.16,Office Supplies,Central
2015-11-21,416.6421,-11.3372,Furniture,East
2015-11-21,16.674000000000003,-3.7715,Office Supplies,East
2015-12-15,3.444,1.4104,Office Supplies,East
2014-12-05,26.0568,1.8612,Office Supplies,Central
2014-12-05,429.18120000000005,76.6395,Technology,Central
2014-11-19,529.158,131.0296,Technology,South
2014-11-19,157.4475,41.986,Technology,South
2014-11-19,30.450000000000003,7.25,Technology,South
2016-11-28,7.518000000000001,3.4368,Office Supplies,East
2014-08-26,185.64000000000001,22.984,Technology,West
2016-07-16,39.0852,3.7224,Office Supplies,Central
2016-07-16,21.0168,6.255,Office Supplies,Central
2015-10-12,944.0928,112.392,Furniture,East
2015-10-12,75.34800000000001,20.0928,Technology,East
2015-10-12,54.43200000000001,24.8832,Office Supplies,East
2015-10-12,657.6696,46.9764,Furniture,East
2015-10-12,20.895,6.567,Office Supplies,East
2015-10-31,14.994,6.7116,Office Supplies,West
2014-03-21,7.7784,1.2038,Office Supplies,East
2014-03-21,6.3504000000000005,1.5876,Office Supplies,East
2017-11-06,48.573,12.0276,Office Supplies,East
2017-07-06,3.0933,-2.2586,Office Supplies,East
2017-07-06,16.858800000000002,5.8203,Office Supplies,East
2017-06-24,22.8312,6.795,Office Supplies,East
2014-08-03,229.6875,-161.875,Furniture,West
2014-08-03,2.7300000000000004,0.2925,Office Supplies,West
2017-12-17,69.5982,-178.9668,Office Supplies,Central
2017-06-03,36.9264,9.6712,Furniture,South
2017-12-09,467.0064,44.4768,Technology,West
2017-12-01,88.116,5.8744,Office Supplies,Central
2017-12-01,138.579,35.6346,Technology,Central
2017-12-01,16.716,7.4824,Office Supplies,Central
2017-12-01,54.9045,16.2099,Office Supplies,Central
2017-12-01,96.5895,3.6796,Office Supplies,Central
2015-02-09,21.840000000000003,6.5,Technology,Central
2015-01-02,24.864,8.88,Office Supplies,East
2015-01-02,475.0725,-244.323,Furniture,East
2015-01-02,66.1311,-14.6958,Technology,East
2015-01-02,1247.4,-950.4,Technology,East
2015-01-02,94.06320000000001,4.4792,Technology,East
2016-10-28,97.71300000000001,26.0568,Office Supplies,West
2016-10-28,317.4948,22.6782,Technology,West
2015-12-24,5.8632,1.8148,Office Supplies,East
2015-12-24,23.8392,8.2302,Office Supplies,East
2015-12-24,20.7648,-13.8432,Office Supplies,East
2015-12-24,76.33919999999999,19.0848,Furniture,East
2015-12-24,503.98740000000004,-383.9904,Technology,East
2015-12-24,28.5264,2.7168,Office Supplies,East
2015-08-09,2.3100000000000005,0.968,Office Supplies,Central
2015-08-09,653.5725000000001,136.939,Furniture,Central
2015-08-09,23.079,0.2198,Office Supplies,Central
2015-02-28,169.64640000000003,-28.2744,Furniture,South
2015-02-28,409.18080000000003,43.8408,Furniture,South
2014-09-13,19.5804,-12.432,Office Supplies,South
2017-04-07,245.55300000000003,-102.048,Furniture,South
2017-04-07,651.6452250000001,-248.2458,Furniture,South
2017-04-07,5.5944,-3.552,Office Supplies,South
2017-04-07,270.97560000000004,0.0,Furniture,South
2017-04-07,648.8748,-7.7247,Technology,South
2017-11-12,11.088000000000001,4.752,Office Supplies,West
2016-06-04,27.216000000000005,9.396,Office Supplies,Central
2016-06-04,440.66400000000004,-356.728,Furniture,Central
2016-06-04,12.272400000000001,-4.6752,Furniture,Central
2016-06-04,33.583200000000005,11.1944,Technology,Central
2016-06-04,186.08625,-120.513,Furniture,Central
2016-06-04,4.2462,-2.8308,Furniture,Central
2016-06-04,7.7784,1.2038,Office Supplies,Central
2014-06-01,2101.953,580.5394,Furniture,Central
2014-06-01,175.056,41.68,Office Supplies,Central
2014-06-01,50.27400000000001,23.94,Office Supplies,Central
2014-06-01,1578.4125000000001,496.0725,Office Supplies,Central
2014-06-01,27.216000000000005,12.4416,Office Supplies,Central
2016-12-10,337.64639999999997,28.1372,Furniture,West
2016-09-11,7.990500000000001,3.5767,Office Supplies,West
2016-09-11,3514.7385,636.0003,Technology,West
2016-12-10,84.60900000000001,22.5624,Office Supplies,East
2016-12-10,380.016,162.864,Office Supplies,East
2015-11-28,12.7386,-8.4924,Furniture,Central
2015-11-28,86.4864,-19.5624,Office Supplies,Central
2015-11-28,56.61600000000001,4.044,Office Supplies,Central
2015-11-28,680.2992,56.6916,Technology,Central
2017-12-01,21.3885,6.9258,Technology,East
2017-12-01,232.62750000000003,6.6465,Office Supplies,East
2017-12-01,18.396,6.132,Office Supplies,East
2017-06-08,1.7052000000000003,-4.466,Office Supplies,Central
2014-09-19,3212.9811,-509.997,Technology,Central
2014-09-19,2645.9559000000004,-251.9958,Technology,Central
2016-06-06,344.6352,28.7196,Technology,Central
2015-11-10,83.89500000000001,35.156,Technology,West
2017-06-16,14.716800000000001,4.7304,Office Supplies,South
2016-01-22,7.938,0.3024,Office Supplies,East
2017-12-09,39.0684,-7.4416,Office Supplies,East
2017-12-09,60.454800000000006,21.591,Office Supplies,East
2017-12-28,762.1320000000001,210.4936,Office Supplies,West
2015-07-30,220.4265,92.3692,Technology,West
2015-07-30,5.5440000000000005,2.3232,Furniture,West
2015-07-30,11.466000000000001,4.095,Office Supplies,West
2017-09-16,9.261000000000001,4.0572,Office Supplies,West
2017-09-16,6.279000000000001,1.5548,Office Supplies,West
2017-10-13,12.2304,4.0768,Office Supplies,East
2017-10-13,19.084799999999998,5.9072,Office Supplies,East
2017-10-13,62.69760000000001,5.9712,Office Supplies,East
2017-10-13,26.082,8.694,Office Supplies,East
2015-09-26,2.184,-3.432,Office Supplies,Central
2015-09-26,1170.1200000000001,376.11,Technology,Central
2015-11-02,1090.782,51.942,Furniture,West
2015-09-26,148.84799999999998,47.844,Office Supplies,West
2015-09-26,251.79000000000002,47.96,Technology,West
2015-09-26,32.6592,10.8864,Office Supplies,West
2016-12-18,266.7609,-169.372,Office Supplies,South
2016-12-18,204.2544,24.316,Office Supplies,South
2016-12-18,1009.5540000000001,-204.3145,Office Supplies,South
2016-11-20,20.050800000000002,6.6836,Office Supplies,East
2016-11-20,19.4208,6.2424,Office Supplies,East
2016-11-20,268.7832,54.3966,Technology,East
2016-11-20,91.3185,-48.7032,Furniture,East
2014-12-26,315.4368,78.8592,Furniture,West
2014-12-26,241.86960000000002,20.1558,Furniture,West
2014-12-26,229.26960000000003,-24.5646,Furniture,West
2014-12-26,82.53,-62.88,Office Supplies,West
2014-12-26,28.9296,9.2988,Office Supplies,West
2016-10-28,34.02,15.552,Office Supplies,East
2016-10-28,1136.604,10.8248,Office Supplies,East
2016-10-28,59.7555,27.3168,Office Supplies,East
2016-10-28,81.48,38.024,Furniture,East
2016-10-28,14.994,6.5688,Office Supplies,East
2017-11-19,230.02875,-131.445,Furniture,Central
2015-05-04,28.14,12.864,Furniture,East
2014-12-30,10.332,2.8536,Office Supplies,Central
2014-06-01,47.754,20.9208,Office Supplies,East
2014-06-01,303.66,83.868,Office Supplies,East
2017-04-15,5.1345,2.0049,Office Supplies,South
2016-09-12,15.8928,3.5948,Furniture,West
2016-09-12,490.1064,52.5114,Furniture,West
2016-09-12,15.9936,1.7136,Furniture,West
2016-09-12,6.5772,2.0358,Office Supplies,West
2014-09-27,91.91700000000002,37.6422,Furniture,East
2014-08-09,187.3032,22.298,Technology,South
2014-08-09,16.3296,5.4432,Office Supplies,South
2014-12-28,104.0928,8.6744,Office Supplies,East
2014-11-04,142.67610000000002,24.1568,Furniture,East
2014-11-04,4191.579000000001,1995.99,Technology,East
2014-11-04,289.737,80.0226,Technology,East
2014-11-04,378.0,129.6,Technology,East
2014-11-04,45.7485,13.071,Office Supplies,East
2014-09-19,7.518000000000001,3.58,Office Supplies,West
2016-04-23,264.096,81.744,Office Supplies,West
2016-04-23,104.98949999999999,34.9965,Technology,West
2017-11-03,16.791600000000003,0.9995,Furniture,South
2016-08-30,305.44290000000007,-67.8762,Technology,East
2016-08-30,56.9352,3.389,Office Supplies,East
2016-08-30,826.0812000000001,-258.5016,Furniture,East
2016-08-30,105.252,33.831,Office Supplies,East
2016-08-30,39.65220000000001,-27.6936,Office Supplies,East
2016-04-25,86.94,-20.7,Technology,East
2016-04-25,21.7602,-13.816,Office Supplies,East
2016-04-25,5.1408000000000005,-3.4272,Office Supplies,East
2015-09-01,4.9896,1.6038,Office Supplies,West
2015-09-01,1007.9832000000001,335.9944,Technology,West
2015-09-01,15.086400000000001,4.49,Office Supplies,West
2014-07-12,8.0976,2.7956,Office Supplies,West
2014-07-12,733.2696,-17.4588,Furniture,West
2015-06-22,5.208,2.3312,Office Supplies,West
2014-04-13,18.748800000000003,1.116,Office Supplies,East
2014-04-13,535.4685000000001,-407.976,Office Supplies,East
2014-04-13,32.5416,10.0724,Office Supplies,East
2014-04-13,75.5244,8.3916,Technology,East
2015-12-20,93.24,-2.22,Office Supplies,Central
2017-06-15,50.3748,4.7976,Technology,West
2017-07-08,7.938,3.0996,Office Supplies,East
2017-07-08,25.788,11.5432,Office Supplies,East
2017-07-08,13.608000000000002,4.1472,Office Supplies,East
2016-09-01,7.1295,2.3086,Technology,East
2016-09-01,25.788,11.5432,Office Supplies,East
2016-09-01,3.2004,1.0668,Office Supplies,East
2016-09-01,51.576,23.0864,Office Supplies,East
2016-09-01,4572.9264,1415.4296,Office Supplies,East
2016-04-08,408.1392,-4.8588,Furniture,East
2016-04-08,8.673,3.7996,Office Supplies,East
2016-04-08,17.892,6.9864,Office Supplies,East
2016-04-08,36.12,15.824,Office Supplies,East
2016-04-23,38.05200000000001,11.325,Office Supplies,South
2017-03-08,680.2320000000001,168.4384,Office Supplies,South
2017-03-08,21.735,9.936,Office Supplies,South
2017-09-25,21.735,9.936,Office Supplies,East
2017-09-25,513.0783,86.8704,Furniture,East
2017-09-25,5.838,1.4456,Office Supplies,East
2017-09-25,49.476,20.7328,Furniture,East
2014-09-24,222.55800000000002,8.4784,Office Supplies,West
2016-10-21,24.36,10.44,Office Supplies,East
2016-10-21,7.728000000000001,0.1472,Office Supplies,East
2016-10-21,110.02950000000001,29.3412,Office Supplies,East
2016-10-21,1096.1160000000002,271.4192,Furniture,East
2017-05-29,27.216000000000005,9.396,Office Supplies,Central
2017-05-29,56.0952,4.6746,Office Supplies,Central
2014-07-23,8.568000000000001,-5.712,Office Supplies,West
2014-07-23,1075.1328,179.1888,Technology,West
2014-07-23,9.702,0.924,Office Supplies,West
2014-07-23,502.992,-29.94,Technology,West
2016-09-28,104.0928,30.98,Office Supplies,Central
2017-08-27,1562.8452,-297.6848,Furniture,East
2015-04-28,9.0846,-20.3322,Office Supplies,Central
2015-04-28,25.023600000000002,2.6811,Office Supplies,Central
2015-04-28,12.7848,-18.8728,Office Supplies,Central
2016-10-28,53.508,25.48,Office Supplies,West
2016-10-28,52.012800000000006,17.3376,Office Supplies,West
2015-06-26,43.995,8.799,Technology,Central
2015-11-27,394.230375,-157.0095,Furniture,South
2015-11-27,88.1748,-1.0497,Technology,South
2015-12-03,506.457,-337.638,Technology,East
2015-12-03,3.108,0.777,Furniture,East
2014-11-24,2.7552000000000003,0.4264,Office Supplies,East
2017-12-11,24.528,7.884,Office Supplies,East
2017-12-11,41.979,13.5932,Technology,East
2014-09-21,258.7032,27.7182,Technology,West
2014-09-21,1889.9685000000002,701.9883,Technology,West
2014-06-07,13.0851,-20.5623,Office Supplies,Central
2017-06-30,79.58160000000001,25.5798,Office Supplies,West
2017-10-17,52.458000000000006,9.4924,Office Supplies,East
2017-10-17,13.608000000000002,6.2208,Office Supplies,East
2015-10-31,73.626,21.036,Office Supplies,Central
2016-09-08,37.7496,3.5952,Office Supplies,Central
2016-09-08,2516.0788800000005,-317.1528,Furniture,Central
2016-09-08,137.6928,-32.784,Office Supplies,Central
2016-09-08,60.46320000000001,0.7198,Technology,Central
2014-12-24,10.0464,3.4684,Office Supplies,South
2014-04-16,41.025600000000004,9.768,Office Supplies,South
2017-12-24,37.7055,9.6957,Office Supplies,East
2017-12-08,188.9475,37.7895,Technology,West
2017-12-08,1259.9748000000002,434.9913,Technology,West
2017-12-08,28.5075,13.3035,Office Supplies,West
2017-12-08,1054.2252,-112.9527,Furniture,West
2017-12-08,10.164,4.6464,Office Supplies,West
2017-12-08,29.767500000000002,13.608,Office Supplies,West
2017-12-08,58.778999999999996,27.4302,Office Supplies,West
2017-12-08,1403.67045,31.4548,Furniture,West
2017-12-08,119.24640000000001,-18.4548,Furniture,West
2017-11-03,146.853,65.7342,Office Supplies,West
2017-11-03,322.49280000000005,26.8744,Furniture,West
2017-06-24,100.71600000000001,25.8984,Office Supplies,West
2016-04-14,402.99,38.38,Furniture,West
2017-11-06,6.069000000000001,2.8322,Office Supplies,South
2017-03-04,9.786000000000001,2.7028,Office Supplies,West
2017-03-04,16.0125,7.015,Office Supplies,West
2014-06-22,206.58960000000002,56.5662,Technology,West
2017-10-19,59.388000000000005,14.7056,Furniture,East
2017-10-19,34.33500000000001,8.502,Office Supplies,East
2017-08-21,909.72,225.264,Furniture,South
2017-11-23,29.82,11.076,Furniture,Central
2017-11-23,302.31600000000003,138.2016,Office Supplies,Central
2014-09-12,73.48949999999999,30.0957,Technology,East
2017-10-01,7.0056,0.5004,Office Supplies,Central
2016-04-15,199.0674,-145.3508,Office Supplies,South
2016-04-15,429.18120000000005,76.6395,Technology,South
2016-04-15,306.558,54.7425,Technology,South
2016-04-15,5.0064,-0.7748,Office Supplies,South
2016-06-06,750.015,207.147,Office Supplies,East
2014-12-19,5.052600000000001,-3.6892,Office Supplies,South
2014-12-19,260.19,-18.585,Technology,South
2016-06-12,1058.37795,43.1991,Technology,Central
2016-06-12,329.1624,113.6394,Office Supplies,Central
2017-09-15,33.4656,11.5536,Office Supplies,Central
2017-01-20,218.2383,2.3094,Furniture,East
2016-09-05,12.831000000000001,3.666,Furniture,Central
2016-09-05,204.687,23.3928,Office Supplies,Central
2016-09-05,74.4975,20.5755,Office Supplies,Central
2016-09-05,95.928,42.0256,Office Supplies,Central
2016-09-05,255.08700000000002,29.1528,Furniture,Central
2016-09-05,23.152500000000003,10.584,Office Supplies,Central
2017-03-20,3.0555000000000003,1.3677,Furniture,Central
2016-04-01,62.49600000000001,15.4752,Office Supplies,East
2016-04-01,170.037,9.7164,Office Supplies,East
2016-04-01,277.074,71.2476,Office Supplies,East
2016-04-01,32.004000000000005,7.9248,Office Supplies,East
2016-04-01,10.332,2.8536,Office Supplies,East
2016-04-01,36.876,9.1312,Technology,East
2017-10-20,298.5822,-75.8304,Furniture,East
2017-10-20,698.6784,66.5408,Office Supplies,East
2016-12-13,67.07400000000001,24.9132,Technology,Central
2014-02-12,136.0464,-24.294,Furniture,West
2016-09-26,784.9359000000001,-96.1146,Furniture,Central
2016-09-26,9.374400000000001,3.348,Office Supplies,Central
2015-12-15,109.116,36.372,Office Supplies,West
2015-12-15,944.9055,377.9622,Technology,West
2015-12-15,53.8776,18.6006,Office Supplies,West
2016-04-22,24.738,7.068,Furniture,West
2016-04-22,1336.2615,-814.4832,Furniture,West
2016-04-22,29.90925,-20.889,Office Supplies,West
2016-04-22,194.6448,-34.758,Office Supplies,West
2016-04-22,82.18560000000001,5.8704,Office Supplies,West
2015-01-17,267.4812,-312.0614,Furniture,Central
2017-03-31,215.59944,-36.2352,Furniture,Central
2016-12-16,5.0274,-7.9002,Office Supplies,Central
2015-12-20,58.254,26.6304,Office Supplies,East
2014-11-09,357.966,3.4092,Office Supplies,West
2014-11-09,233.79930000000002,10.4784,Furniture,West
2014-11-09,739.1664,87.996,Technology,West
2014-11-09,97.146,24.9804,Office Supplies,West
2014-11-09,65.7825,28.819,Office Supplies,West
2014-11-09,99.5925,45.528,Office Supplies,West
2016-07-12,100.54800000000002,7.182,Technology,West
2016-10-27,42.21000000000001,19.296,Furniture,East
2016-06-26,15.435,6.615,Office Supplies,East
2016-06-26,739.4625,84.51,Office Supplies,East
2014-10-06,9.544500000000001,1.9089,Technology,West
2014-07-22,6.258,1.6688,Office Supplies,East
2014-07-22,167.97899999999998,57.5928,Technology,East
2017-06-10,31.080000000000002,14.8,Office Supplies,West
2017-06-10,539.87325,-30.245,Furniture,West
2017-06-10,293.95799999999997,17.4975,Technology,West
2014-10-29,2872.7496000000006,341.994,Technology,Central
2014-06-09,8.3916,0.5994,Technology,Central
2014-06-09,67.1832,10.3974,Technology,Central
2014-06-09,73.8864,6.1572,Office Supplies,Central
2014-09-14,471.6075,8.983,Office Supplies,East
2014-09-14,11.6235,5.0922,Office Supplies,East
2016-05-09,98.679,13.1572,Technology,West
2016-03-18,199.3761,-94.941,Furniture,South
2015-12-27,110.691,51.6558,Office Supplies,South
2016-07-25,125.5968,40.3704,Office Supplies,West
2016-07-25,268.548,81.8432,Furniture,West
2016-07-25,253.64640000000003,18.1176,Furniture,West
2016-07-25,72.765,22.869,Furniture,West
2016-05-30,23.751,-15.08,Office Supplies,West
2016-05-30,15.6996,-11.9616,Office Supplies,West
2016-05-30,841.6464,50.098,Furniture,West
2016-05-30,2.4948,-1.9008,Office Supplies,West
2016-05-30,34.4316,11.8871,Office Supplies,West
2017-11-12,16.716,5.373,Office Supplies,East
2015-03-16,2.8770000000000002,0.7398,Office Supplies,South
2015-03-16,8.757,2.1684,Office Supplies,South
2015-03-16,49.077000000000005,11.685,Office Supplies,South
2015-03-16,6672.6975,3177.475,Office Supplies,South
2017-11-26,132.615,40.416,Furniture,Central
2017-11-26,39.942,12.1728,Technology,Central
2016-10-20,7.509600000000001,0.7152,Office Supplies,East
2017-12-21,6.9615,1.7901,Office Supplies,West
2017-12-21,6.174,1.7052,Office Supplies,West
2017-01-22,3149.9474999999998,1379.977,Technology,West
2017-01-22,54.02250000000001,13.8915,Office Supplies,West
2017-01-22,12.558000000000002,5.382,Office Supplies,West
2017-01-22,1182.3210000000001,56.301,Office Supplies,West
2015-03-22,19.3116,5.2877,Technology,Central
2015-03-22,136.0464,-25.9136,Office Supplies,Central
2015-03-22,14.8176,-21.168,Office Supplies,Central
2017-01-23,221.529,21.098,Furniture,Central
2016-05-21,57.9348,-12.4146,Technology,West
2016-05-21,69.57300000000001,27.1666,Technology,West
2015-12-26,23.31,10.434,Office Supplies,East
2017-10-21,718.1496000000001,42.747,Furniture,South
2017-10-21,47.9808,5.1408,Furniture,South
2015-09-03,38.1528,-7.2672,Office Supplies,East
2015-09-03,699.5604000000001,-149.9058,Office Supplies,East
2015-09-03,55.137600000000006,19.692,Office Supplies,East
2015-11-07,200.256,11.92,Furniture,West
2017-09-07,50.336999999999996,2.397,Furniture,West
2016-05-29,1028.9475,274.386,Technology,South
